recognizer_age_numeric,ci_lower,ci_upper,mean
3,0.3280021320343232,0.4747257021158581,0.39730380381511393
4,0.3857333566273056,0.4930039430000345,0.4414124876083231
5,0.46477383734796185,0.5949946639942898,0.5320827694582361
6,0.45805190543440744,0.6054416596381434,0.533007492779841
7,0.5435912477397072,0.633625839675965,0.5921385637094025
8,0.6327532436742962,0.7100355775931434,0.6731200712121764
9,0.43252907223495457,0.6788751794193939,0.551422954625354
10,0.5979989240474437,0.738962501973741,0.6699463872709487
