age_numeric,ci_lower,ci_upper,mean
2,0.2650902295688851,0.35147903666031555,0.3091021584720827
3,0.2484030997518189,0.3277385020058972,0.28623056391084856
4,0.2631557252617361,0.3484493226718649,0.30824342654670567
5,0.3251035577313505,0.437840283310752,0.38478490173974766
6,0.37026721245822414,0.4957547476298297,0.43504691839378873
7,0.4010916413992937,0.5313533247955889,0.4694101711578897
8,0.42304137495606875,0.5506239263505504,0.4901302581722387
9,0.41838271118601533,0.5442393287945119,0.48103453443556393
10,0.4339975827088238,0.5593158032058155,0.49615476069516606
