category,model_correct_bin,roi_labelName,count_images_bin,avg_emphasis,count_drawings_with_part,prop_drawings,label,levels
bird,1,beak,27,0.0944581003422349,15,0.5555555555555556,beak,beak
bird,1,eye,27,0.0571858134538087,16,0.5925925925925926,eye,eye
bird,1,foot,27,0.1178996270371839,6,0.2222222222222222,foot,foot
bird,1,leg,27,0.07654466717943617,7,0.25925925925925924,leg,leg
bird,1,wing,27,0.3510715761617439,15,0.5555555555555556,wing,wing
bird,2,beak,27,0.1116572022430815,17,0.6296296296296297,beak,beak
bird,2,eye,27,0.0340426093510893,15,0.5555555555555556,eye,eye
bird,2,foot,27,0.09400430870239941,5,0.18518518518518517,foot,foot
bird,2,leg,27,0.09357876135756621,6,0.2222222222222222,leg,leg
bird,2,wing,27,0.3320790071355903,17,0.6296296296296297,wing,wing
bird,3,beak,27,0.09021477115191569,15,0.5555555555555556,beak,beak
bird,3,eye,27,0.052965181572409,21,0.7777777777777778,eye,eye
bird,3,foot,27,0.07555225343940022,6,0.2222222222222222,foot,foot
bird,3,leg,27,0.11364805760359006,10,0.37037037037037035,leg,leg
bird,3,wing,27,0.22813158348952234,18,0.6666666666666666,wing,wing
bird,4,beak,27,0.10598704787806307,17,0.6296296296296297,beak,beak
bird,4,eye,27,0.04773377120765688,16,0.5925925925925926,eye,eye
bird,4,foot,27,0.13922553032232562,15,0.5555555555555556,foot,foot
bird,4,leg,27,0.11191350344343283,14,0.5185185185185185,leg,leg
bird,4,wing,27,0.31662791098716564,18,0.6666666666666666,wing,wing
fish,1,eye,27,0.12639444842747347,18,0.6666666666666666,eye,eye
fish,1,fin,27,0.2403071583571809,11,0.4074074074074074,fin,fin
fish,1,gill,27,0.042894189360637505,1,0.037037037037037035,gill,gill
fish,1,mouth,27,0.054058081128839544,13,0.48148148148148145,mouth,mouth
fish,1,tail,27,0.1981144374321886,16,0.5925925925925926,tail,tail
fish,2,eye,27,0.06819687514191822,21,0.7777777777777778,eye,eye
fish,2,fin,27,0.22567946366821182,9,0.3333333333333333,fin,fin
fish,2,gill,27,0.20385599998547316,4,0.14814814814814814,gill,gill
fish,2,mouth,27,0.07439675137097818,14,0.5185185185185185,mouth,mouth
fish,2,tail,27,0.2132785958855761,12,0.4444444444444444,tail,tail
fish,3,eye,27,0.06485819169879986,19,0.7037037037037037,eye,eye
fish,3,fin,27,0.16954917690958743,9,0.3333333333333333,fin,fin
fish,3,gill,27,0.21239502212150246,4,0.14814814814814814,gill,gill
fish,3,mouth,27,0.06447126408120539,5,0.18518518518518517,mouth,mouth
fish,3,tail,27,0.26345961624172665,16,0.5925925925925926,tail,tail
fish,4,eye,27,0.08796128420553209,18,0.6666666666666666,eye,eye
fish,4,fin,27,0.1789770234434589,2,0.07407407407407407,fin,fin
fish,4,mouth,27,0.06078605786141792,9,0.3333333333333333,mouth,mouth
fish,4,tail,27,0.27641699415683624,18,0.6666666666666666,tail,tail
rabbit,1,ear,27,0.3288955168617626,19,0.7037037037037037,ear,ear
