recognizer_age_numeric,ci_lower,ci_upper,mean
3,0.373657337179956,0.428168081674739,0.4024035179127263
4,0.41640028606520496,0.4612582436719688,0.4381893094801427
5,0.4479696540478432,0.4957891753002363,0.4738367571515089
6,0.5123452085363122,0.563786210999261,0.539623310296696
7,0.5614240746955942,0.617815921819995,0.5908564037336654
8,0.5644168777510784,0.6349547184301606,0.6002749495263907
9,0.5183281881226106,0.6083710787771222,0.5653787283033086
10,0.5588658189046004,0.6300377007117177,0.5964961504297225
