age_numeric,layer,ci_lower,ci_upper,mean
2,FC6,0.07137703023015055,0.13868059035219613,0.10295473937772044
3,FC6,0.09128629778248719,0.15884721178658495,0.12300042463236818
4,FC6,0.1015200581454702,0.17087805126238384,0.13755882961585908
5,FC6,0.11002393038174632,0.198217466614781,0.15719878289812178
6,FC6,0.13517681873129062,0.21900986734373498,0.1784085530682198
7,FC6,0.14596984600402574,0.22703068333544432,0.18589903064751503
8,FC6,0.1352119068354563,0.23111431006692285,0.184979484690923
9,FC6,0.1304698778215054,0.22612237996665,0.17925671313545632
10,FC6,0.09775178952508191,0.19606077119018536,0.14714151050999605
