age_numeric,ci_lower,ci_upper,mean
2,0.022169201329988772,0.10293795830904681,0.06413211526677133
3,0.027273254507099283,0.12576033496869138,0.07660815346119504
4,0.04604057036079623,0.13979591374704528,0.09181337213694403
5,0.03949578868357038,0.12605937157284888,0.08293701640140815
6,0.044700620073246995,0.13254767879561544,0.09025150181227433
7,0.055431436596669305,0.15837530180116752,0.10193801964465865
8,0.05282522993716742,0.1645236037593176,0.10586804335215219
9,0.013977904962382128,0.12862022221907846,0.07750940659437394
10,0.07368761382332077,0.18404967828439195,0.13078600300564527
