category,age_numeric,roi_labelName,avg_emphasis,count_drawings_with_part,count_images,prop_drawings
bird,4,beak,0.1109945456190399,17,28,0.6071428571428571
bird,4,eye,0.06387416769715687,15,28,0.5357142857142857
bird,4,foot,0.106083238795171,8,28,0.2857142857142857
bird,4,leg,0.09539808430442227,11,28,0.39285714285714285
bird,4,wing,0.2885313842528105,13,28,0.4642857142857143
bird,5,beak,0.09858645184262216,12,28,0.42857142857142855
bird,5,eye,0.05857656150211453,16,28,0.5714285714285714
bird,5,foot,0.15123571514821524,8,28,0.2857142857142857
bird,5,leg,0.12538870790770026,8,28,0.2857142857142857
bird,5,wing,0.27875960735747424,19,28,0.6785714285714286
bird,6,beak,0.09112743989041588,17,27,0.6296296296296297
bird,6,eye,0.05058029852054952,19,27,0.7037037037037037
bird,6,foot,0.08846856800428962,7,27,0.25925925925925924
bird,6,leg,0.10005988801986582,7,27,0.25925925925925924
bird,6,wing,0.32421078578077256,19,27,0.7037037037037037
bird,7,beak,0.10299245138006255,16,27,0.5925925925925926
bird,7,eye,0.053507542826303565,17,27,0.6296296296296297
bird,7,foot,0.13399567937319265,8,27,0.2962962962962963
bird,7,leg,0.09992023938230729,7,27,0.25925925925925924
bird,7,wing,0.3005832849660024,15,27,0.5555555555555556
bird,8,beak,0.09338972375005394,24,28,0.8571428571428571
bird,8,eye,0.03985287757706397,23,28,0.8214285714285714
bird,8,foot,0.12017614042285904,10,28,0.35714285714285715
bird,8,leg,0.0786352284073271,15,28,0.5357142857142857
bird,8,wing,0.30655903404448015,18,28,0.6428571428571429
fish,4,eye,0.08789298468799611,18,27,0.6666666666666666
fish,4,fin,0.20735690361750855,9,27,0.3333333333333333
fish,4,gill,0.03897379925436006,1,27,0.037037037037037035
fish,4,mouth,0.06591250959499545,10,27,0.37037037037037035
fish,4,tail,0.2609454956498718,14,27,0.5185185185185185
fish,5,eye,0.09560541244117432,20,28,0.7142857142857143
fish,5,fin,0.20270382366420803,11,28,0.39285714285714285
fish,5,gill,0.07063183181659127,1,28,0.03571428571428571
fish,5,mouth,0.06507032413732916,9,28,0.32142857142857145
fish,5,tail,0.22220499605460425,19,28,0.6785714285714286
fish,6,eye,0.10678354241887142,17,27,0.6296296296296297
fish,6,fin,0.15993388424476113,8,27,0.2962962962962963
fish,6,gill,0.17238101321439667,4,27,0.14814814814814814
fish,6,mouth,0.04941973368334246,10,27,0.37037037037037035
fish,6,tail,0.23758430495176225,15,27,0.5555555555555556
fish,7,eye,0.0695674500312552,21,27,0.7777777777777778
fish,7,fin,0.22088604843419024,9,27,0.3333333333333333
fish,7,gill,0.23065002010656827,3,27,0.1111111111111111
fish,7,mouth,0.05875096615273827,10,27,0.37037037037037035
