recognizer_age_numeric,distinct_index,ci_lower,ci_upper,mean,recognizer_age_name
3,1,0.21117957746478883,0.30633802816901406,0.25704225352112675,3-year-olds
3,2,0.196,0.3,0.244,3-year-olds
3,3,0.2992125984251969,0.41338582677165353,0.3543307086614173,3-year-olds
3,4,0.2702702702702703,0.3874999999999999,0.32882882882882886,3-year-olds
3,5,0.2764505119453925,0.37892491467576783,0.32764505119453924,3-year-olds
3,6,0.3247588424437299,0.42765273311897106,0.3762057877813505,3-year-olds
3,7,0.36070381231671556,0.4633431085043988,0.41055718475073316,3-year-olds
3,8,0.4646840148698885,0.5910780669144982,0.5278810408921933,3-year-olds
3,9,0.5013404825737265,0.5978552278820375,0.5495978552278821,3-year-olds
3,10,0.596100278551532,0.6908077994428969,0.6434540389972145,3-year-olds
4,1,0.25217391304347825,0.33695652173913043,0.29347826086956524,4-year-olds
4,2,0.24093264248704663,0.3290155440414508,0.2849740932642487,4-year-olds
4,3,0.34675615212527966,0.4407158836689038,0.39373601789709173,4-year-olds
4,4,0.35398230088495575,0.4573008849557521,0.40412979351032446,4-year-olds
4,5,0.3528138528138528,0.44377705627705627,0.39826839826839827,4-year-olds
4,6,0.3847826086956522,0.4739673913043478,0.4282608695652174,4-year-olds
4,7,0.4375,0.5301724137931034,0.4849137931034483,4-year-olds
4,8,0.46206896551724136,0.5609195402298851,0.5126436781609195,4-year-olds
4,9,0.5964912280701754,0.671451355661882,0.6331738437001595,4-year-olds
4,10,0.7077464788732394,0.7852112676056338,0.7464788732394366,4-year-olds
5,1,0.24507658643326038,0.32828227571115964,0.2888402625820569,5-year-olds
5,2,0.21728971962616822,0.29439252336448596,0.2523364485981308,5-year-olds
5,3,0.33016627078384797,0.42042755344418054,0.37292161520190026,5-year-olds
5,4,0.383248730964467,0.48223350253807107,0.43147208121827413,5-year-olds
5,5,0.41238479262672817,0.5069124423963134,0.45852534562211983,5-year-olds
5,6,0.5426695842450766,0.6301969365426696,0.5886214442013129,5-year-olds
5,7,0.4906314699792961,0.5797101449275363,0.5341614906832298,5-year-olds
5,8,0.5990427927927929,0.6891891891891891,0.6418918918918919,5-year-olds
5,9,0.6327272727272727,0.7090909090909091,0.6690909090909091,5-year-olds
5,10,0.7375201288244766,0.8051529790660226,0.7713365539452496,5-year-olds
6,1,0.34916201117318435,0.44972067039106145,0.39664804469273746,6-year-olds
6,2,0.31950171821305845,0.4329896907216495,0.3745704467353952,6-year-olds
6,3,0.3933933933933934,0.4954954954954955,0.4444444444444444,6-year-olds
6,4,0.4426877470355731,0.5613636363636362,0.4980237154150198,6-year-olds
6,5,0.45954968944099384,0.5714285714285714,0.515527950310559,6-year-olds
6,6,0.5306748466257669,0.6411042944785276,0.5858895705521472,6-year-olds
6,7,0.5832614942528737,0.6839080459770115,0.632183908045977,6-year-olds
6,8,0.603125,0.703125,0.653125,6-year-olds
6,9,0.7153284671532847,0.7980535279805353,0.7566909975669099,6-year-olds
6,10,0.7608142493638677,0.8397582697201017,0.8015267175572519,6-year-olds
7,1,0.3269230769230769,0.4461538461538462,0.38461538461538464,7-year-olds
7,2,0.3524590163934426,0.47950819672131145,0.4180327868852459,7-year-olds
7,3,0.45317220543806647,0.5558912386706949,0.5045317220543807,7-year-olds
7,4,0.5078740157480315,0.6299212598425197,0.5669291338582677,7-year-olds
7,5,0.4930555555555556,0.6076388888888888,0.5486111111111112,7-year-olds
7,6,0.5705128205128205,0.6826923076923077,0.625,7-year-olds
7,7,0.63125,0.737578125,0.684375,7-year-olds
7,8,0.6840490797546013,0.7822085889570553,0.7331288343558282,7-year-olds
7,9,0.7208121827411168,0.8071065989847716,0.766497461928934,7-year-olds
7,10,0.8465473145780051,0.9104859335038363,0.8797953964194374,7-year-olds
8,1,0.3125,0.4375,0.375,8-year-olds
8,2,0.33170731707317075,0.4682926829268293,0.4,8-year-olds
8,3,0.44776119402985076,0.5870646766169154,0.5174129353233831,8-year-olds
8,4,0.4968553459119497,0.6540880503144654,0.5723270440251572,8-year-olds
8,5,0.592964824120603,0.7185929648241206,0.6582914572864321,8-year-olds
8,6,0.5637254901960784,0.696078431372549,0.6323529411764706,8-year-olds
8,7,0.5897435897435898,0.7136752136752137,0.6538461538461539,8-year-olds
8,8,0.733830275229358,0.8440366972477065,0.7889908256880734,8-year-olds
8,9,0.7677902621722846,0.8614232209737828,0.8164794007490637,8-year-olds
8,10,0.8440114068441066,0.9201520912547528,0.8821292775665399,8-year-olds
9,1,0.304,0.48,0.392,9-year-olds
9,2,0.23157894736842105,0.42105263157894735,0.3263157894736842,9-year-olds
9,3,0.37,0.57,0.47,9-year-olds
9,4,0.4895833333333333,0.6773437499999998,0.5833333333333334,9-year-olds
9,5,0.44144144144144143,0.6216216216216216,0.5315315315315315,9-year-olds
9,6,0.5419847328244275,0.7022900763358778,0.6183206106870229,9-year-olds
9,7,0.6587301587301587,0.8095238095238095,0.7380952380952381,9-year-olds
9,8,0.6694214876033058,0.8181818181818182,0.743801652892562,9-year-olds
9,9,0.732620320855615,0.8502673796791443,0.7967914438502673,9-year-olds
9,10,0.803921568627451,0.9150326797385621,0.8627450980392157,9-year-olds
10,1,0.28888888888888886,0.42777777777777776,0.35555555555555557,10-year-olds
10,2,0.43258426966292135,0.5730337078651685,0.5,10-year-olds
10,3,0.44366197183098594,0.6126760563380281,0.528169014084507,10-year-olds
10,4,0.45588235294117646,0.6323529411764706,0.5441176470588235,10-year-olds
10,5,0.5028901734104047,0.647543352601156,0.5722543352601156,10-year-olds
