age_numeric,drawn_category,baseline_chance,avg_size_correct
2,TV,0.4791666666666667,-0.16882183908045978
2,airplane,0.4791666666666667,0.05654761904761901
2,apple,0.5208333333333333,0.22916666666666674
2,bed,0.4791666666666667,0.11174242424242425
2,bike,0.4791666666666667,-0.14583333333333337
2,boat,0.4791666666666667,-0.07376126126126126
2,book,0.5208333333333333,0.030890804597701216
2,bottle,0.5208333333333333,0.19345238095238104
2,bowl,0.5208333333333333,0.12622549019607854
2,cactus,0.4791666666666667,-0.027553763440860246
2,car,0.4791666666666667,0.03696236559139782
2,chair,0.4791666666666667,0.06628787878787873
2,clock,0.5208333333333333,0.14583333333333337
2,couch,0.4791666666666667,0.16083333333333333
2,cup,0.5208333333333333,0.20257092198581572
2,hat,0.5208333333333333,0.05981182795698936
2,house,0.4791666666666667,-0.05608974358974361
2,ice.cream,0.5208333333333333,0.21250000000000002
2,key,0.5208333333333333,0.030890804597701216
2,lamp,0.5208333333333333,-0.0860507246376811
2,mushroom,0.5208333333333333,0.12916666666666676
2,phone,0.5208333333333333,0.08442982456140358
2,piano,0.4791666666666667,0.09978070175438597
2,scissors,0.5208333333333333,-0.02083333333333326
2,train,0.4791666666666667,0.1932471264367816
2,tree,0.4791666666666667,-0.056944444444444464
2,watch,0.5208333333333333,0.1971153846153847
3,TV,0.4791666666666667,-0.18371212121212122
3,airplane,0.4791666666666667,-0.023026315789473728
3,apple,0.5208333333333333,0.21250000000000002
3,bed,0.4791666666666667,0.05274822695035458
3,bike,0.4791666666666667,-0.08786231884057971
3,boat,0.4791666666666667,0.04542349726775957
3,book,0.5208333333333333,-0.034346846846846746
3,bottle,0.5208333333333333,0.3052536231884059
3,bowl,0.5208333333333333,0.1748188405797102
3,cactus,0.4791666666666667,-0.041666666666666685
3,car,0.4791666666666667,0.020833333333333315
3,chair,0.4791666666666667,-0.11074561403508776
3,clock,0.5208333333333333,0.2505952380952382
3,couch,0.4791666666666667,0.02852564102564098
3,cup,0.5208333333333333,0.23592342342342354
3,hat,0.5208333333333333,-0.02083333333333326
3,house,0.4791666666666667,-0.14583333333333337
3,ice.cream,0.5208333333333333,0.18504901960784326
3,key,0.5208333333333333,0.18371212121212133
3,lamp,0.5208333333333333,0.08630952380952384
