recognizer_age_numeric,part_index,ci_lower,ci_upper,mean
3,1,0.13011152416356878,0.22304832713754646,0.17843866171003717
3,2,0.25806451612903225,0.3548387096774194,0.3032258064516129
3,3,0.30484330484330485,0.4045584045584046,0.3561253561253561
3,4,0.3473282442748092,0.4618320610687023,0.40458015267175573
3,5,0.4877450980392157,0.5784313725490197,0.5343137254901961
3,6,0.32894736842105265,0.4517543859649123,0.39035087719298245
3,7,0.47506561679790027,0.5721784776902887,0.5196850393700787
3,8,0.38580246913580246,0.49691358024691357,0.44135802469135804
3,9,0.30405405405405406,0.41216216216216217,0.3581081081081081
3,10,0.3253424657534247,0.4384417808219177,0.3835616438356164
4,1,0.15334773218142547,0.2224622030237581,0.1879049676025918
4,2,0.2916666666666667,0.37896825396825395,0.3353174603174603
4,3,0.4308300395256917,0.5177865612648221,0.4743083003952569
4,4,0.5,0.5945273631840796,0.5472636815920398
4,5,0.5561312607944733,0.6338514680483592,0.5958549222797928
4,6,0.4035532994923858,0.5050761421319797,0.4543147208121827
4,7,0.4928825622775801,0.5729537366548043,0.5320284697508897
4,8,0.4192872117400419,0.5073375262054507,0.46331236897274636
4,9,0.38768115942028986,0.47282608695652173,0.42934782608695654
4,10,0.37174721189591076,0.4591078066914498,0.4144981412639405
5,1,0.1457905544147844,0.2135523613963039,0.17864476386036962
5,2,0.35709706959706966,0.43956043956043955,0.3974358974358974
5,3,0.48072562358276644,0.5691609977324263,0.528344671201814
5,4,0.5079681274900398,0.5936254980079682,0.5517928286852589
5,5,0.5480572597137015,0.6400817995910021,0.5950920245398773
5,6,0.4854368932038835,0.570873786407767,0.5300970873786408
5,7,0.5508130081300813,0.6341971544715447,0.5914634146341463
5,8,0.5352112676056338,0.6197183098591549,0.579476861167002
5,9,0.41846758349705304,0.5068762278978389,0.4636542239685658
5,10,0.42557651991614254,0.5157232704402516,0.469601677148847
6,1,0.18362282878411912,0.2655086848635236,0.22580645161290322
6,2,0.4426229508196721,0.5606557377049181,0.5016393442622951
6,3,0.561046511627907,0.6627906976744186,0.6133720930232558
6,4,0.5273775216138329,0.6340778097982708,0.579250720461095
6,5,0.6178861788617886,0.7317073170731707,0.6747967479674797
6,6,0.5343824228028504,0.6247030878859857,0.5795724465558195
6,7,0.596875,0.7,0.65
6,8,0.4960182767624021,0.5953002610966057,0.5430809399477807
6,9,0.46208530805687204,0.5616113744075829,0.5118483412322274
6,10,0.5207823960880196,0.6185819070904646,0.57212713936430315
7,1,0.1393939393939394,0.22121212121212122,0.1787878787878788
7,2,0.3944727891156463,0.5068027210884354,0.4489795918367347
7,3,0.5276243093922652,0.638121546961326,0.5828729281767956
7,4,0.6788321167883211,0.7639902676399026,0.7201946472019465
7,5,0.7138157894736842,0.8125,0.7631578947368421
7,6,0.6059113300492611,0.7019704433497537,0.6527093596059114
7,7,0.6810688405797103,0.7862318840579711,0.7355072463768116
7,8,0.6518987341772152,0.75,0.7025316455696202
7,9,0.5063694267515924,0.6178343949044586,0.5605095541401274
7,10,0.5610501567398121,0.664576802507837,0.6112852664576802
8,1,0.13636363636363635,0.22727272727272727,0.18181818181818182
8,2,0.38113207547169814,0.5019811320754717,0.44528301886792454
8,3,0.5889830508474576,0.7076271186440678,0.6483050847457628
8,4,0.6395759717314488,0.7455830388692579,0.6890459363957597
8,5,0.6394849785407726,0.7553648068669528,0.6995708154506438
8,6,0.6888888888888889,0.7962962962962963,0.7444444444444445
8,7,0.6923076923076923,0.8076923076923077,0.75
8,8,0.6476190476190476,0.7714285714285715,0.7095238095238096
8,9,0.5254237288135594,0.6779661016949152,0.5988700564971752
8,10,0.48314606741573035,0.6292134831460674,0.5617977528089888
9,1,0.18243243243243243,0.31756756756756754,0.24324324324324326
9,2,0.36363636363636365,0.5371900826446281,0.45454545454545453
9,3,0.6160714285714286,0.7857142857142857,0.6964285714285714
9,4,0.672514619883041,0.8011695906432749,0.7368421052631579
9,5,0.6629213483146067,0.8426966292134831,0.7528089887640449
9,6,0.5723270440251572,0.717138364779874,0.6477987421383647
9,7,0.6134453781512605,0.7815126050420168,0.6974789915966386
9,8,0.5592105263157895,0.7105263157894737,0.6381578947368421
9,9,0.48214285714285715,0.6696428571428571,0.5714285714285714
9,10,0.4968562874251498,0.6407185628742516,0.5688622754491018
10,1,0.16744186046511628,0.2837209302325581,0.22790697674418606
10,2,0.42924528301886794,0.5613207547169812,0.49528301886792453
10,3,0.5804878048780487,0.7170731707317073,0.6487804878048781
10,4,0.6480446927374302,0.776536312849162,0.7150837988826816
10,5,0.6794258373205742,0.7894736842105263,0.7368421052631579
10,6,0.6339939024390245,0.7682926829268293,0.7012195121951219
10,7,0.6331658291457286,0.7639447236180903,0.7035175879396985
10,8,0.5909090909090909,0.7222222222222222,0.6565656565656566
10,9,0.5827142857142859,0.7257142857142858,0.6514285714285715
10,10,0.5706214689265536,0.711864406779661,0.6440677966101694
