age_numeric,category,ci_lower,ci_upper,mean
4,bird,3.2142857142857144,4.822321428571428,4
4,fish,2.2222222222222223,3.5555555555555554,2.888888888888889
4,rabbit,3.1481481481481484,4.444444444444445,3.7777777777777777
4,dog,3.3214285714285716,4.857142857142857,4.107142857142857
4,sheep,3.3333333333333335,4.967499999999999,4.133333333333334
4,tiger,2.7241379310344827,4.518103448275862,3.6551724137931036
4,camel,1.7586206896551724,3.380172413793103,2.5517241379310347
4,bear,2.7857142857142856,4.64375,3.7142857142857144
4,cup,1.290625000000001,2.1666666666666665,1.7083333333333333
4,lamp,1.0869565217391304,2.1739130434782608,1.608695652173913
4,hat,0.8181818181818182,1.7272727272727273,1.2727272727272727
4,bottle,0.7083333333333334,1.7916666666666667,1.25
4,car,1.12,2.4,1.72
4,boat,0.9565217391304348,2.0445652173913036,1.4782608695652173
4,airplane,2,3.4166666666666665,2.6666666666666665
4,train,0.5652173913043478,1.566304347826086,1.0869565217391304
5,bird,3.2142857142857144,4.714285714285714,3.9642857142857144
5,fish,2.5348214285714294,3.892857142857143,3.2142857142857144
5,rabbit,3.6785714285714284,5.321428571428571,4.5
5,dog,3.9276785714285722,5.464285714285714,4.714285714285714
5,sheep,3.3333333333333335,4.767499999999999,4.1
5,tiger,3.8620689655172415,5.862931034482758,4.862068965517241
5,camel,3.066666666666667,4.766666666666667,3.9
5,bear,3.8666666666666667,5.300833333333332,4.666666666666667
5,cup,1.7083333333333333,2.4583333333333335,2.0833333333333335
5,lamp,1.8333333333333333,3.0416666666666665,2.4166666666666665
5,hat,1.0897727272727282,2,1.5454545454545454
5,bottle,1.0869565217391304,2.174999999999999,1.608695652173913
5,car,1.639000000000001,2.88,2.24
5,boat,1.199000000000001,2.04,1.6
5,airplane,2.32,3.44,2.92
5,train,0.92,2,1.44
6,bird,3.6666666666666665,5.2592592592592595,4.444444444444445
6,fish,2.259259259259259,3.740740740740741,3
6,rabbit,3.963392857142858,5.428571428571429,4.678571428571429
6,dog,4.928571428571429,6.428571428571429,5.678571428571429
6,sheep,3.2333333333333334,4.933333333333334,4.1
6,tiger,3.689655172413793,5.448275862068965,4.586206896551724
6,camel,4.214285714285714,5.857142857142857,5.035714285714286
6,bear,5.068965517241379,6.517241379310345,5.793103448275862
6,cup,1.625,2.3333333333333335,2
6,lamp,1.7590000000000008,2.76,2.24
6,hat,1.0434782608695652,1.9565217391304348,1.4782608695652173
6,bottle,1.4583333333333333,2.5416666666666665,1.9583333333333333
6,car,1.6666666666666667,3.375,2.4583333333333335
6,boat,1.434782608695652,2.739130434782609,2.0869565217391304
6,airplane,2.125,3.2916666666666665,2.7083333333333335
6,train,1.4583333333333333,2.6260416666666657,2.0416666666666665
7,bird,3.295370370370371,4.777777777777778,4.037037037037037
7,fish,3,3.9638888888888877,3.4814814814814814
7,rabbit,4.392857142857143,5.928571428571429,5.178571428571429
7,dog,4.464285714285714,6.178571428571429,5.357142857142857
7,sheep,4.466666666666667,5.733333333333333,5.1
7,tiger,4.333333333333333,6,5.2
7,camel,3.5325000000000006,4.966666666666667,4.233333333333333
7,bear,3.896551724137931,5.689655172413793,4.827586206896552
7,cup,1.4782608695652173,2.391304347826087,1.9565217391304348
7,lamp,1.88,2.76,2.32
7,hat,1.380952380952381,2.2857142857142856,1.8571428571428572
7,bottle,1.608695652173913,2.5652173913043477,2.0869565217391304
7,car,2.9166666666666665,4.833333333333333,3.9166666666666665
7,boat,1.4090909090909092,2.5454545454545454,2
7,airplane,2.84,3.96,3.4
7,train,1.5833333333333333,3.1666666666666665,2.4166666666666665
8,bird,4.5,5.715178571428571,5.107142857142857
8,fish,2.75,3.892857142857143,3.3214285714285716
8,rabbit,4.75,6.322321428571428,5.571428571428571
8,dog,5.777777777777778,7.037037037037037,6.407407407407407
8,sheep,4.172413793103448,5.620689655172414,4.931034482758621
8,tiger,4.068965517241379,6.137931034482759,5.103448275862069
8,camel,3.5517241379310347,5.620689655172414,4.586206896551724
8,bear,4.633333333333334,6,5.366666666666666
8,cup,2.125,2.9583333333333335,2.5416666666666665
8,lamp,2.16,3.44,2.8
8,hat,1.7826086956521738,2.5652173913043477,2.1739130434782608
8,bottle,2,3.142857142857143,2.5714285714285716
8,car,1.84,3.120999999999999,2.48
8,boat,1.391304347826087,2.5217391304347827,1.9565217391304348
8,airplane,2.04,3.28,2.68
8,train,1.6521739130434783,2.8260869565217392,2.260869565217391
