layer,age_numeric,avg_animacy_correct,drawn_category
FC6,2,0.19612068965517238,TV
FC6,2,-0.13392857142857145,airplane
FC6,2,0.02083333333333337,apple
FC6,2,0.1831896551724138,bear
FC6,2,0.02840909090909094,bed
FC6,2,-0.018145161290322565,bee
FC6,2,-0.08630952380952384,bike
FC6,2,0.012500000000000011,bird
FC6,2,0.14020270270270274,boat
FC6,2,0.19612068965517238,book
FC6,2,0.2946428571428571,bottle
FC6,2,-0.09191176470588236,bowl
FC6,2,-0.11088709677419356,cactus
FC6,2,0.29934210526315785,camel
FC6,2,0.050403225806451624,car
FC6,2,0.11805555555555558,cat
FC6,2,0.25568181818181823,chair
FC6,2,-0.10416666666666669,clock
FC6,2,0.11750000000000005,couch
FC6,2,0.21114864864864868,cow
FC6,2,0.16090425531914898,cup
FC6,2,0.10795454545454541,dog
FC6,2,0.1339285714285714,elephant
FC6,2,0.12916666666666665,face
FC6,2,-0.02573529411764708,fish
FC6,2,0.2646276595744681,frog
FC6,2,0.10096153846153844,hand
FC6,2,0.08266129032258063,hat
FC6,2,0.2025,horse
FC6,2,0.20673076923076927,house
FC6,2,-0.09583333333333333,ice.cream
FC6,2,0.05818965517241381,key
FC6,2,0.22010869565217395,lamp
FC6,2,0.23750000000000004,mushroom
FC6,2,0.1339285714285714,octopus
FC6,2,-0.05654761904761907,person
FC6,2,0.14802631578947367,phone
FC6,2,0.2796052631578947,piano
FC6,2,0.10416666666666663,rabbit
FC6,2,0.1597222222222222,scissors
FC6,2,0.14740566037735847,sheep
FC6,2,0.0842391304347826,snail
FC6,2,0.10096153846153844,spider
FC6,2,0.259469696969697,tiger
FC6,2,0.21336206896551724,train
FC6,2,0.08194444444444449,tree
FC6,2,-0.024038461538461564,watch
FC6,2,-0.05288461538461536,whale
FC6,3,0.27840909090909094,TV
FC6,3,0.10416666666666663,airplane
FC6,3,0.0708333333333333,apple
FC6,3,0.2693965517241379,bear
FC6,3,0.20345744680851063,bed
FC6,3,0.0025000000000000022,bee
