drawn_category,class,mean_prob
bear,bear,0.04244710403103448
bear,camel,0.02832490896994253
bear,cow,0.028982094008448277
bear,elephant,0.03424269700344828
bear,horse,0.027516568073908045
bear,octopus,0.029734007535488508
bear,person,0.03393917146856322
bear,sheep,0.030290809971551723
bear,tiger,0.029350751334109196
bear,whale,0.023749517788649425
bear,bee,0.027533285122241378
bear,bird,0.02179895803218391
bear,cat,0.025265648548850574
bear,dog,0.023748653895114942
bear,face,0.04007647627238506
bear,fish,0.018231849609109195
bear,frog,0.03440557345304598
bear,hand,0.01813607067163793
bear,rabbit,0.03614526062462644
bear,snail,0.026662838291666668
bear,spider,0.02430888952183908
bear,airplane,0.013726226878448275
bear,bed,0.00941244528658046
bear,bike,0.020703152991350574
bear,boat,0.009128955023994252
bear,cactus,0.026363748317126436
bear,car,0.021687746239310347
bear,chair,0.012180773572126437
bear,couch,0.008069174150948277
bear,house,0.00909291173387931
bear,piano,0.007760642304022988
bear,train,0.013464980649425288
bear,tree,0.03112296620474138
bear,TV,0.007687361807931035
bear,apple,0.017574985073362068
bear,book,0.00750387461295977
bear,bottle,0.013511334509655172
bear,bowl,0.011312991652413793
bear,clock,0.02236362396683908
bear,cup,0.008581432690660919
bear,hat,0.008718867564971264
bear,ice.cream,0.017540479501810344
bear,key,0.018140782107413794
bear,lamp,0.013822355670028735
bear,mushroom,0.015316244796695402
bear,phone,0.010714048626321838
bear,scissors,0.020936969020373564
bear,watch,0.018669791910948277
camel,bear,0.02629792601298893
camel,camel,0.060000330387269374
camel,cow,0.03786719053295203
camel,elephant,0.047837490554354246
camel,horse,0.04821202658929889
camel,octopus,0.034570230161808116
camel,person,0.021850776902324724
camel,sheep,0.037779162191734314
camel,tiger,0.0348544731049631
camel,whale,0.019463141665424354
camel,bee,0.028242079677601475
camel,bird,0.022044191452952028
camel,cat,0.0213909161900738
camel,dog,0.026333503603321033
camel,face,0.00931725856199262
camel,fish,0.013899023415295203
camel,frog,0.020699222899298892
camel,hand,0.03767694103660517
camel,rabbit,0.02440882270597786
camel,snail,0.016316492878487084
camel,spider,0.02755884465095941
camel,airplane,0.01754874906081181
camel,bed,0.013363952428154982
camel,bike,0.019426686814095942
camel,boat,0.009353685851845019
camel,cactus,0.02947682330719557
camel,car,0.015228473454870849
camel,chair,0.016495689129520295
camel,couch,0.01220328391404059
camel,house,0.012969373354686347
camel,piano,0.013484207901918819
camel,train,0.017147231886900368
camel,tree,0.027243283555608858
camel,TV,0.008883517314169741
camel,apple,0.012433848439483395
camel,book,0.00886549854103321
camel,bottle,0.011749702602509226
camel,bowl,0.008451991066346863
camel,clock,0.007178185031660516
camel,cup,0.010035600966162362
camel,hat,0.010923745811660517
camel,ice.cream,0.013386945170184503
camel,key,0.015151895699852399
camel,lamp,0.011162543891918819
camel,mushroom,0.019454916857158673
camel,phone,0.007931995879608857
camel,scissors,0.021316301235608855
camel,watch,0.012511825592239852
