category,childs_age,ci_lower,ci_upper,mean
lamp,6,1.0833333333333333,1.5833333333333333,1.3333333333333333
lamp,7,1.1666666666666667,1.8333333333333333,1.5
lamp,8,1,2,1.3333333333333333
lamp,9,1.2,2,1.6
lamp,10,NA,NA,1
mushroom,2,NA,NA,1
mushroom,3,1,1,1
mushroom,4,1.2222222222222223,2.7805555555555532,1.8888888888888888
mushroom,5,1,1.6,1.2
mushroom,6,1,1.25,1.0833333333333333
mushroom,7,1,2.6666666666666665,1.6666666666666667
mushroom,8,1,2,1.3333333333333333
mushroom,9,1,1.6,1.2
mushroom,10,NA,NA,1
octopus,2,NA,NA,1
octopus,3,1,1.7777777777777777,1.3333333333333333
octopus,4,1.2222222222222223,3.111111111111111,2.111111111111111
octopus,5,1.4,2.6,2
octopus,6,1.0833333333333333,1.6666666666666667,1.3333333333333333
octopus,7,2,3.6666666666666665,2.8333333333333335
octopus,8,1,3,2
octopus,9,1.4,2,1.8
octopus,10,NA,NA,1
person,2,NA,NA,2
person,3,3.111111111111111,4.555555555555555,3.888888888888889
person,4,3.3305555555555584,4.444444444444445,3.888888888888889
person,5,4.2,5,4.6
person,6,3.9979166666666686,4.916666666666667,4.5
person,7,3.6666666666666665,4.833333333333333,4.333333333333333
person,8,4,4,4
person,9,3.6,5,4.4
person,10,NA,NA,4
phone,2,NA,NA,1
phone,3,1,1.7777777777777777,1.3333333333333333
phone,4,1.3333333333333333,3,2.111111111111111
phone,5,1,1.6,1.2
phone,6,1.1666666666666667,1.9166666666666667,1.5
phone,7,1.6666666666666667,3,2.3333333333333335
phone,8,2,3,2.3333333333333335
phone,9,1,3.2,2
phone,10,NA,NA,2
piano,2,NA,NA,1
piano,3,1,1,1
piano,4,1,2.5555555555555554,1.6666666666666667
piano,5,1,1.6,1.2
piano,6,1,1.25,1.0833333333333333
piano,7,1,1.6666666666666667,1.3333333333333333
piano,8,1,2,1.3333333333333333
piano,9,1,3.2,2
piano,10,NA,NA,1
rabbit,2,NA,NA,1
rabbit,3,1,1.6666666666666667,1.2222222222222223
rabbit,4,1.6666666666666667,3.3333333333333335,2.4444444444444446
rabbit,5,1.2,3.8,2.4
rabbit,6,1.5833333333333333,2.8333333333333335,2.1666666666666665
rabbit,7,1.8333333333333333,3.1666666666666665,2.5
rabbit,8,2,3,2.3333333333333335
rabbit,9,2.4,3,2.8
rabbit,10,NA,NA,1
scissors,2,NA,NA,1
scissors,3,1,1,1
scissors,4,1,2.5555555555555554,1.6666666666666667
scissors,5,1,1.6,1.2
scissors,6,1.1666666666666667,2,1.5833333333333333
scissors,7,1,1.6666666666666667,1.3333333333333333
scissors,8,1,2,1.6666666666666667
scissors,9,1.2,2.8,2
scissors,10,NA,NA,1
sheep,2,NA,NA,1
sheep,3,1,1.7777777777777777,1.3333333333333333
sheep,4,1.4444444444444444,3.111111111111111,2.111111111111111
sheep,5,1.2,2.4,1.8
sheep,6,1.1666666666666667,2,1.5833333333333333
sheep,7,1.6666666666666667,2.6666666666666665,2.1666666666666665
sheep,8,1,2,1.3333333333333333
sheep,9,1.2,3.2,2.2
sheep,10,NA,NA,1
snail,2,NA,NA,1
snail,3,1,2.3333333333333335,1.5555555555555556
snail,4,1.4444444444444444,3,2.111111111111111
snail,5,1.4,2.6,2
snail,6,1.0833333333333333,1.75,1.4166666666666667
snail,7,1.6666666666666667,3.004166666666663,2.3333333333333335
snail,8,1,2,1.6666666666666667
snail,9,1.6,2.8,2.2
snail,10,NA,NA,2
spider,2,NA,NA,1
spider,3,1,1.5555555555555556,1.2222222222222223
spider,4,1.7777777777777777,3.2222222222222223,2.4444444444444446
spider,5,1.4,3.2,2.2
spider,6,1.5833333333333333,2.75,2.1666666666666665
spider,7,2,3.5,2.8333333333333335
spider,8,2,3,2.3333333333333335
spider,9,3,4.6,3.8
spider,10,NA,NA,3
tiger,2,NA,NA,1
tiger,3,1,1.6666666666666667,1.2222222222222223
tiger,4,1.1111111111111112,2.6666666666666665,1.7777777777777777
tiger,5,1,1.8,1.4
tiger,6,1.25,2.0833333333333335,1.6666666666666667
tiger,7,2.1666666666666665,3.3333333333333335,2.6666666666666665
tiger,8,1,2,1.6666666666666667
tiger,9,1.6,3.6,2.6
tiger,10,NA,NA,2
train,2,NA,NA,1
train,3,1.5555555555555556,3.2222222222222223,2.4444444444444446
train,4,1.6666666666666667,3.5555555555555554,2.5555555555555554
train,5,2,2.8,2.4
train,6,1.75,2.585416666666665,2.1666666666666665
train,7,2.1666666666666665,3.5,2.8333333333333335
train,8,1,4,2.6666666666666665
train,9,2.2,4.2,3.2
train,10,NA,NA,4
tree,2,NA,NA,1
tree,3,1.5555555555555556,3.111111111111111,2.3333333333333335
tree,4,2.3333333333333335,3.888888888888889,3.111111111111111
tree,5,3.4,4.6,4
tree,6,2.5,3.4166666666666665,3
tree,7,3,4.333333333333333,3.6666666666666665
tree,8,4,4,4
tree,9,3.2,4.404999999999996,3.8
tree,10,NA,NA,4
watch,2,NA,NA,1
watch,3,1,1.5555555555555556,1.2222222222222223
watch,4,1.2222222222222223,3.002777777777775,2.111111111111111
watch,5,1,1.8,1.4
watch,6,1,1.6666666666666667,1.25
watch,7,1.1666666666666667,1.8333333333333333,1.5
watch,8,1,1,1
watch,9,1,1.8,1.4
watch,10,NA,NA,1
whale,2,NA,NA,1
whale,3,1,1.6666666666666667,1.2222222222222223
whale,4,1.1111111111111112,2.7777777777777777,1.7777777777777777
whale,5,1,2.8,1.6
whale,6,1,1.4166666666666667,1.1666666666666667
whale,7,2,2.6666666666666665,2.3333333333333335
whale,8,1,3,2
whale,9,1.6,3.4,2.4
whale,10,NA,NA,1
