age_numeric,category,ci_lower,ci_upper,mean
2,TV,-4.632310442021851,-3.8510455700612467,-4.2669875285117795
2,airplane,-4.214592461863958,-2.881616785168593,-3.5985279078182906
2,apple,-2.9849831334349712,-1.9889643892747,-2.4904702167818136
2,bear,-2.9576576007925643,-2.1554615671566153,-2.559714248267654
2,bed,-3.44529475811411,-2.6844453677214015,-3.0646412767605575
2,bee,-3.547990132986066,-2.4310931448205992,-3.0132755712504786
2,bike,-3.8846512389372134,-1.859201235487179,-2.877927788226407
2,bird,-2.943886110569569,-2.095844407654205,-2.5755664334650508
2,boat,-3.0001846702223993,-1.8189980349486994,-2.4225281018259817
2,book,-4.826426845076436,-4.004006561881934,-4.407288293426639
2,bottle,-1.915829448226944,-0.5771074368874657,-1.241313338063423
2,bowl,-3.052297538800937,-2.0061460363953536,-2.546849965142773
2,cactus,-3.3429033351812585,-2.515508946797753,-2.9251391510790827
2,camel,-2.103931127487232,-0.7855296400209894,-1.4788022585837484
2,car,-4.70713165026877,-3.7799139031233895,-4.283143948724673
2,cat,-2.678423292471594,-1.885408398846593,-2.2739599747833426
2,chair,-2.1503144287012748,-0.6598402334884605,-1.4428220373482077
2,clock,-3.0590592183013343,-1.8677151328966661,-2.486231466870556
2,couch,-3.782048568133629,-2.172707852309342,-3.0106480105447693
2,cow,-3.3690064664408967,-2.5573280471016666,-2.980516776389439
2,cup,-3.999447569244413,-3.185320447926999,-3.616613196552085
2,dog,-4.030212460105263,-3.6381764545242556,-3.843669242707898
2,elephant,-2.8171671840440915,-1.6128459248747211,-2.235552447784097
2,face,-2.699419681098048,-2.1852968641064683,-2.4454775036552987
2,fish,-2.3043408978159654,-1.4434922638817336,-1.9132363744776473
2,frog,-3.2214473325143134,-2.636580637485629,-2.933585611367724
2,hand,-0.9597833291902491,0.20864792029408508,-0.39775048272204616
2,hat,-1.585597726555032,-0.6064697294197541,-1.088416327149976
2,horse,-2.9248078030843905,-2.004622423125036,-2.480656392730501
2,house,-3.6148465845835984,-2.4143475487303396,-3.0052588144636445
2,ice.cream,-4.0458121001529985,-2.8181595284258196,-3.4269125093499957
2,key,-4.127680743494809,-3.5175430895465163,-3.8401336362871183
2,lamp,-2.949010856927914,-1.8742673507844971,-2.4409602143820086
2,mushroom,-2.0763355401065198,-0.8271724539305783,-1.5009964193266985
2,octopus,-4.808053138937355,-3.6814855069893992,-4.264713945448978
2,person,-3.2754893453991185,-2.7683934047815044,-3.0266970732836738
2,phone,-4.4302291944853875,-4.046385277010077,-4.249359299686963
2,piano,-4.907548040577385,-4.1958749711283145,-4.557320191225738
2,rabbit,-2.1381040811958663,-0.5376675524742573,-1.3958150689461086
2,scissors,-2.4028985210036256,-1.9368470851098398,-2.1659226180182602
2,sheep,-3.6100208064587123,-2.941646358270231,-3.285539106743816
2,snail,-1.2524485086835397,-0.3437354463090716,-0.7955467953382299
2,spider,-1.9996414098548028,-0.7765066773562095,-1.3583265049587758
2,tiger,-5.825149641956728,-5.0726367684278,-5.445596966947005
2,train,-5.295260922892285,-4.756085026573609,-5.030542608670574
2,tree,-4.390708851427491,-3.785461466494403,-4.104483935223719
2,watch,-3.9527676339825653,-3.216898131198741,-3.5729883595986087
2,whale,-3.308874285456746,-2.58467381858645,-2.9349297683649196
3,TV,-4.706921098777085,-4.01274152737742,-4.386157618462636
3,airplane,-4.8996184180825315,-4.19431567932778,-4.5722910147192755
3,apple,-3.266472721751782,-2.6101670298555275,-2.9316225966307257
3,bear,-3.3836378868419694,-2.811290718971241,-3.103593061885641
3,bed,-3.8386992278158725,-3.2245130798971817,-3.5525913600565007
3,bee,-3.7678767704492437,-2.8786941611792134,-3.340225559220963
3,bike,-3.6924141681163962,-2.305479835978498,-3.035617451906249
3,bird,-3.2020757986544943,-2.5077440872792947,-2.871570399975091
3,boat,-3.4715279943165056,-2.59727354082742,-3.037909674613569
3,book,-4.769110737031978,-4.116791287295139,-4.44486742765817
3,bottle,-2.7632707602968907,-1.4486396274895186,-2.1088731821517146
3,bowl,-3.4785783276064186,-3.000440883558194,-3.2358044493377043
3,cactus,-3.132250542204516,-2.1733838501976845,-2.6459624083757864
3,camel,-2.4485887812781946,-1.1675108582636307,-1.814152175991352
3,car,-4.387059218799059,-3.4860739179634317,-3.951022752197015
3,cat,-3.375611239552915,-2.8548195307982995,-3.1156006192300216
3,chair,-2.5877327236464094,-1.7947772665736772,-2.2187680049601646
3,clock,-3.335059341562247,-2.493101289339784,-2.9126333357643333
3,couch,-4.47683535309591,-3.61398164512884,-4.056870190190143
3,cow,-3.213878245969136,-2.4888852532355132,-2.8611726287115973
3,cup,-4.1638068152362315,-3.480252459154752,-3.834782576556611
3,dog,-3.8679877666098985,-3.420606037909641,-3.647719465613377
3,elephant,-2.842401646509381,-2.086053257857708,-2.480370868917404
3,face,-2.887536643689801,-2.425622264644506,-2.664134627844013
3,fish,-2.2233222731166773,-1.5031372671523011,-1.8732746655031545
3,frog,-3.403467330650599,-2.993719238490397,-3.190058029362295
3,hand,-1.4577472760275558,-0.5272076471293066,-0.9907639060167089
3,hat,-1.9817424914994843,-1.057544574060365,-1.5583922921380082
3,horse,-2.7306579411876664,-2.074589064852994,-2.410866156797544
3,house,-3.5555686945612868,-2.375400990374838,-2.9882244382544485
3,ice.cream,-4.374012007469126,-3.5026935970534288,-3.9467847527271527
3,key,-4.283088464511728,-3.731321939152167,-4.014314115703196
3,lamp,-2.9285495150126466,-1.9211521175304374,-2.444391735692443
3,mushroom,-2.524448587868587,-1.7799810537082545,-2.164222814294205
3,octopus,-4.053425284616967,-3.200222404693579,-3.638440256308757
3,person,-3.467019886255476,-3.0702561080529027,-3.2765545082866474
3,phone,-4.505149401755201,-4.202591863758608,-4.355252884863644
3,piano,-4.7786199066614765,-4.190930350992624,-4.50600454618016
3,rabbit,-1.8949657130393267,-0.8321572873475283,-1.3665331235988352
