age_numeric,ci_lower,ci_upper,mean
2,0.2675948416188202,0.3527632724093455,0.3091021584720827
3,0.24435238852491875,0.3250215964223567,0.28623056391084856
4,0.26668677110758404,0.34875125857686085,0.30824342654670567
5,0.3302503816039115,0.4356160062538226,0.38478490173974766
6,0.37606417794879887,0.4910019906833765,0.43504691839378873
7,0.40694152353854957,0.5374053031022137,0.4694101711578897
8,0.42653236079459816,0.548567904022303,0.4901302581722387
9,0.4141076490282516,0.5433754311962614,0.48103453443556393
10,0.4368677766322056,0.5491580186469173,0.49615476069516606
