recognizer_age_numeric,distinct_index,ci_lower,ci_upper,mean
3,1,0.20647540983606566,0.3016393442622951,0.25245901639344265
3,2,0.23202614379084968,0.33986928104575165,0.28431372549019607
3,3,0.2542372881355932,0.3559322033898305,0.3016949152542373
3,4,0.3211267605633803,0.4140845070422535,0.36619718309859156
3,5,0.3021148036253776,0.40181268882175225,0.3504531722054381
3,6,0.37317784256559766,0.478134110787172,0.42565597667638483
3,7,0.3591331269349845,0.46447368421052626,0.4117647058823529
3,8,0.34710743801652894,0.4490358126721763,0.39944903581267216
3,9,0.4006024096385542,0.5090361445783133,0.45180722891566266
3,10,0.5567010309278351,0.6572164948453608,0.6082474226804123
4,1,0.23938223938223938,0.3185328185328185,0.277992277992278
4,2,0.2523191094619666,0.3302411873840445,0.2894248608534323
4,3,0.31485148514851485,0.4,0.3564356435643564
4,4,0.3463587921847247,0.42451154529307283,0.3836589698046181
4,5,0.37213740458015265,0.45610687022900764,0.41412213740458015
4,6,0.4116541353383459,0.4981672932330827,0.4567669172932331
4,7,0.44251626898047725,0.5336225596529284,0.49023861171366595
4,8,0.4467680608365019,0.5361216730038023,0.4923954372623574
4,9,0.5209923664122137,0.6031011450381679,0.5629770992366412
4,10,0.6215334420880914,0.6998368678629691,0.6606851549755302
5,1,0.2350674373795761,0.31021194605009633,0.27167630057803466
5,2,0.2713178294573643,0.35276162790697674,0.313953488372093
5,3,0.375,0.46710526315789475,0.42105263157894735
5,4,0.4388349514563107,0.5223300970873787,0.4815533980582524
5,5,0.4011627906976744,0.4845445736434108,0.4437984496124031
5,6,0.43038033395176256,0.5139146567717996,0.4712430426716141
5,7,0.43830570902394106,0.5230662983425415,0.47882136279926335
5,8,0.5135135135135135,0.5927927927927928,0.5531531531531532
5,9,0.599290780141844,0.6738031914893616,0.6347517730496454
5,10,0.6934503424657535,0.7671232876712328,0.7294520547945206
6,1,0.24331550802139038,0.3342245989304813,0.2887700534759358
6,2,0.31443298969072164,0.4072164948453608,0.3556701030927835
6,3,0.4065281899109792,0.5074925816023738,0.456973293768546
6,4,0.4362244897959184,0.5306760204081632,0.4872448979591837
6,5,0.5149700598802395,0.6137724550898204,0.562874251497006
6,6,0.5219638242894057,0.6201550387596899,0.5710594315245479
6,7,0.5353535353535354,0.6313131313131313,0.5833333333333334
6,8,0.5669856459330144,0.6626794258373205,0.6172248803827751
6,9,0.6106870229007634,0.7023536895674299,0.6564885496183206
6,10,0.7113291139240507,0.7974683544303798,0.7518987341772152
7,1,0.310126582278481,0.40822784810126583,0.36075949367088606
7,2,0.3824561403508772,0.4982456140350877,0.43859649122807015
7,3,0.41641337386018235,0.5258358662613982,0.46808510638297873
7,4,0.5380281690140845,0.6422535211267606,0.5887323943661972
7,5,0.5073746312684366,0.6106194690265486,0.56047197640118
7,6,0.5129533678756477,0.6113989637305699,0.5595854922279793
7,7,0.5949022346368715,0.6955307262569832,0.6424581005586593
7,8,0.6318681318681318,0.7252747252747253,0.6785714285714286
7,9,0.6572164948453608,0.7474871134020618,0.7010309278350515
7,10,0.7772277227722773,0.8514851485148515,0.8143564356435643
8,1,0.29411764705882354,0.42081447963800905,0.3574660633484163
8,2,0.38235294117647056,0.5126050420168067,0.4495798319327731
8,3,0.4125,0.5376041666666665,0.475
8,4,0.4576923076923077,0.5846153846153846,0.5230769230769231
8,5,0.5689655172413793,0.6896551724137931,0.6293103448275862
8,6,0.5333333333333333,0.6577777777777778,0.5955555555555555
8,7,0.5823260073260075,0.6996336996336996,0.6410256410256411
8,8,0.6848739495798319,0.7941176470588235,0.7394957983193278
8,9,0.6614785992217899,0.77431906614786,0.7198443579766537
8,10,0.7311827956989247,0.8279569892473119,0.7813620071684588
9,1,0.29365079365079366,0.4523809523809524,0.373015873015873
9,2,0.30864197530864196,0.46296296296296297,0.38271604938271603
9,3,0.33043478260869563,0.5130434782608696,0.41739130434782606
9,4,0.4825862068965519,0.6413793103448275,0.5586206896551724
9,5,0.48412698412698413,0.6507936507936508,0.5634920634920635
9,6,0.5440476190476193,0.6938775510204082,0.6190476190476191
9,7,0.5899280575539568,0.7410071942446043,0.6690647482014388
9,8,0.5668789808917197,0.7197452229299363,0.643312101910828
9,9,0.6449704142011834,0.7810650887573964,0.7100591715976331
9,10,0.7735849056603774,0.8930817610062893,0.8364779874213837
10,1,0.30952380952380953,0.4583333333333333,0.3869047619047619
10,2,0.3805309734513274,0.5088495575221239,0.4424778761061947
10,3,0.4700460829493088,0.6082949308755761,0.543778801843318
10,4,0.5286343612334802,0.6563876651982379,0.5947136563876652
10,5,0.43137254901960786,0.5687499999999999,0.5
10,6,0.554945054945055,0.6924450549450548,0.6263736263736264
10,7,0.602457264957265,0.7222222222222222,0.6623931623931624
10,8,0.6630434782608695,0.7934782608695652,0.7282608695652174
10,9,0.6502463054187192,0.7733990147783252,0.7093596059113301
10,10,0.7990654205607477,0.897196261682243,0.8504672897196262
