age_numeric,layer,ci_lower,ci_upper,mean
2,FC6,0.07160111151897816,0.1371548315981518,0.10295473937772044
3,FC6,0.08421394422407162,0.15672329691314377,0.12300042463236818
4,FC6,0.09721637202274437,0.1736725239856617,0.13755882961585908
5,FC6,0.11298775994502684,0.1981150900149806,0.15719878289812178
6,FC6,0.13459646100316963,0.2196599421040379,0.1784085530682198
7,FC6,0.14482162167557688,0.22561913115576823,0.18589903064751503
8,FC6,0.13517935228640796,0.2296021534884004,0.184979484690923
9,FC6,0.13075295942259707,0.2283668241370418,0.17925671313545632
10,FC6,0.0961617728540821,0.19616390160404207,0.14714151050999605
