age_numeric,layer,ci_lower,ci_upper,mean
2,FC6,0.02353512745465528,0.10653490372790289,0.06421784914880145
3,FC6,0.027709896821774157,0.12325725158370561,0.07669388734322516
4,FC6,0.044741874368403205,0.13995096082293876,0.09189910601897415
5,FC6,0.03993183204831638,0.12437852254411212,0.08302275028343827
6,FC6,0.04305181388528457,0.13749213232789956,0.09033723569430445
7,FC6,0.04670307760786558,0.15623433617750881,0.10202375352668877
8,FC6,0.0506419611764874,0.1622638860172231,0.10595377723418231
9,FC6,0.026170416920689218,0.13449527019720373,0.07759514047640406
10,FC6,0.0695199755853637,0.1880288795993488,0.1308717368876754
